Nama,IPS 1,IPS 2,IPS 3,IPS 4,Jenis Kelamin
Ashlan Allicock,2.777975505,1.679348917,3.267782993,2.479794352,Female
Hunter Medgwick,1.245261777,3.488727096,3.203148672,2.338523623,Male
Rafi Pavlovsky,1.54424345,3.590717322,3.533281374,3.365912123,Male
Cherin Cowl,2.521819542,1.212800525,3.834831458,2.658451232,Female
Mufinella Blazek,2.343637175,1.315313419,1.044425254,1.705971352,Female
Ozzie O'Scandall,2.429934685,3.701520698,1.414516127,2.628617195,Male
Belva Andrewartha,1.823162693,3.613528005,1.936516278,3.609581182,Female
Horton Moulden,3.546710057,3.910805598,2.644398602,3.070301517,Male
Tasha Channing,3.740793897,3.015647094,3.324862035,3.614018054,Female
Doria Heddan,3.206882754,2.382398842,1.075004009,2.73646306,Female
Andris Hards,1.438854743,2.985506493,3.763824986,3.859254997,Male
Piper Moxon,2.497209621,1.813644392,3.184825721,2.710714788,Female
Zonda Deegan,2.576196286,1.597224845,1.666968432,3.696719129,Female
Melisent Dugald,1.663020274,1.233829136,2.188098473,1.284120352,Female
Anthea Oxtaby,1.734678862,1.656640256,1.380324513,2.285355679,Female
Gregoire Carmen,1.42301077,1.835781526,2.303375223,2.440992281,Male
Sissie Sarson,1.062592178,2.699742032,1.077253135,3.910798651,Female
Tam Dreossi,1.080051218,2.564381575,3.2382683,3.726553371,Male
Orsola Jentin,3.350038256,1.308876478,1.118553195,2.488975495,Female
Rickert Mangenet,3.299476964,2.820811428,2.643559772,2.060122711,Male
Reginauld Going,2.905365055,1.592961518,2.285746379,2.594341858,Male
Alanson Jacqueminot,1.314748879,2.066043486,1.424936486,3.475487125,Male
Lucian Denisard,2.324820055,3.928880021,2.583990802,1.961340176,Male
Valry Lawie,1.687209272,1.021567127,2.592640933,3.627802595,Female
Caspar Ciottoi,1.201185807,1.524781317,2.599185371,3.655311552,Male
Sisely Laherty,3.931853621,3.131728572,1.240519105,1.816526553,Female
Sindee Caudwell,2.960080516,3.219187332,2.888361618,1.496710653,Female
Jaymie Wrate,2.94951616,2.653541795,3.457676607,2.127280739,Male
Pat Connop,2.589960297,3.150276447,2.36492509,1.616760621,Male
Brittan Drackford,3.399796491,3.003646119,2.295020939,2.563525576,Female
Odelinda Willingham,3.039453425,3.234251722,1.391606847,3.757440963,Female
Zolly Gilham,1.69343878,2.598950857,3.910654514,2.597123167,Male
Eddie Cullimore,3.52550699,3.542246803,3.782402088,1.04836211,Female
Claiborn Croci,1.594253092,3.232621486,3.186297781,2.284159748,Male
Isobel Brennan,1.912957911,2.450456017,2.22822154,1.848055906,Female
Persis McGlaughn,1.814391201,3.098465115,3.435504486,1.221569117,Female
Blaine Ruddiman,3.957425083,1.376812775,1.805771736,3.47527524,Male
Rod Bushaway,2.104983128,2.839078053,3.62584788,3.03868434,Male
Brandea Lunny,3.606732589,2.06192668,1.577019302,1.630430218,Female
Terese Cunio,2.596237835,2.237580311,3.230966012,2.33948634,Female
Peyter Jenkerson,1.779112419,2.511293251,3.670192957,1.380330694,Male
Patricia Cuxon,1.851714225,2.992959534,3.755017236,2.474340525,Female
Harvey Warin,1.089340929,1.786138583,3.145155076,3.940039051,Male
Ardelis Wesker,2.415608796,3.367171327,3.934197222,1.192848734,Female
Stefano Boffey,1.640794958,3.244992464,3.209635579,3.646675475,Male
Gilda Woodruff,2.101313474,3.32321505,2.284335519,1.292318371,Female
Ermengarde Sends,3.839630506,3.341040038,1.431772263,1.83399973,Female
Chad Artis,3.194687586,3.201638875,3.233422349,1.799893353,Male
Normie Beams,2.959428444,3.301078571,1.819176908,1.499975447,Male
Garrard Goldsmith,3.639926026,3.572022867,2.885219075,2.314677203,Male
Ruth Mahady,2.768109544,3.074508479,1.872809498,2.674205093,Female
Joseph Bielby,1.161779391,2.557205581,2.337273218,2.837095604,Male
Gabey Oxberry,3.640031681,3.50277518,2.84949982,1.474518748,Female
Ula Crannell,3.296808794,1.285405527,1.022506979,2.308410586,Female
Morly Jobbings,3.765524233,2.276272036,3.484498382,1.469900538,Male
Clywd Twentyman,3.224546073,1.38237893,3.274087558,1.913800685,Male
Derward Clabburn,3.725829536,1.671677371,3.639979103,2.469676818,Male
Pauly Amerighi,2.912764281,1.702867378,3.164571945,3.413660943,Male
Charles Corck,3.361963481,1.750727075,2.613128183,3.324010535,Male
Rusty Skelington,3.427460762,3.676883085,3.248133979,3.665954483,Male
Berthe Ghilardi,3.847989525,2.985134906,2.712263768,1.571533978,Female
Delcine Tremblett,3.583347146,2.080049239,2.083809007,3.383633726,Female
Dorena Cornbell,2.184144173,1.525318217,2.28782942,1.138942656,Female
Sheela Dabes,1.486182017,1.585064496,1.52031095,2.903031891,Female
Gilburt Ploughwright,3.079996456,3.016349916,1.503140778,3.618084659,Male
Fayre Glasard,2.808096833,3.694064416,1.604467445,3.565821168,Female
Millicent Andrew,2.278440748,3.357369831,2.836660715,3.919692028,Female
Bethena Vittet,2.993169272,2.923708658,1.576983804,1.403158661,Female
Lenci Waterhowse,1.881944445,2.290250635,3.252719241,1.655461888,Male
Alexander Yesichev,1.268569807,3.805841916,2.504929461,2.068438253,Male
Annnora Perrot,2.920805928,2.059748067,1.274732694,3.389783774,Female
Illa McDaid,2.783307008,1.138280706,3.326300458,1.964619686,Female
Devlen Schaffler,2.776743913,3.345138381,1.336030681,2.699925784,Male
Drud Merigon,2.223116577,2.870586615,1.213553716,3.4242479,Male
Jase Napthine,1.076912194,1.051630466,3.095606224,2.466907611,Male
Euphemia Grouer,1.429137821,2.507975943,3.947759451,1.347351904,Female
Flem Dewhurst,2.159690289,3.815328658,1.465503016,2.576236373,Male
Berrie Pykerman,2.614257999,1.827780177,3.519707251,1.754199376,Female
Wilden Shinefield,1.241398764,1.821793909,2.992602585,1.920202188,Male
Barry Dye,1.763899017,1.388472917,3.603157992,1.558638839,Male
Theresita Sante,3.366706357,1.3951769,1.239274548,1.007366581,Female
Alejoa Riccardi,1.110398611,3.393131331,2.368921729,3.238961851,Male
Kristyn Tonbridge,2.83833393,3.766107056,2.455042984,2.718980526,Female
Sybil Scotney,3.888486239,1.525789824,3.765986652,1.774075636,Female
Garland McRory,2.327591929,1.560832208,1.366242151,1.444225564,Female
Jephthah Beasleigh,3.184480054,1.540697921,3.607798052,3.68775149,Male
Jethro Dobrowski,1.529362541,3.221632556,2.942239207,1.400384581,Male
Forster Mulryan,2.827031425,1.583406042,3.523445424,1.626235897,Male
Hilary Macrae,1.494816423,1.469715168,3.462120962,3.826322478,Male
Fianna McGarrity,2.716684258,2.101652406,1.116238084,3.232773027,Female
Petra Di Pietro,1.374669225,2.549112027,3.34833552,1.139906391,Female
Waylon Isakovic,3.81407946,3.667613776,2.396798214,3.023390885,Male
Nealon Praton,2.822468512,1.582850394,1.101340261,2.57021249,Male
Haven Mousby,1.31555314,3.424808763,1.1778124,1.908246135,Male
Marlo Mirams,1.636753476,3.352783431,2.812529888,2.330573312,Male
Katha Oguz,3.060945823,1.98361358,1.014570314,1.994101867,Female
Fredrick Wadmore,3.123016536,2.52075619,2.132962913,3.72607977,Male
Reagan Pickston,3.964531862,3.077851767,2.037079875,3.983205357,Male
Aguie Townsend,3.758711014,1.649047638,1.084716488,1.837404623,Male
Franciskus Antoniottii,2.485973352,3.978123738,2.574205093,3.958455451,Male
Dorree Ballinger,1.019303332,1.292567041,1.324278666,2.54906656,Female
Clyve Gurney,3.835196492,3.154020939,3.76691682,1.617553383,Male
Halli Bourgourd,3.678510698,3.057550387,2.48192669,3.097421911,Female
Ernie Linton,3.168645977,3.826931647,1.139722034,2.291662763,Male
Banky Smogur,2.158334261,1.113446159,3.415990038,1.781470654,Male
Viv Adlington,2.965003271,3.232696022,2.725044647,1.362798656,Female
Julietta Readhead,3.355311023,3.009081894,1.768639487,3.122263966,Female
Cobb Isworth,2.236982661,3.223663863,3.958181077,2.760579825,Male
Consuelo Staresmeare,1.842328418,3.586220675,2.9007843,2.21794621,Female
Drucie Jakeman,2.758420799,1.488471351,2.084420409,1.629760371,Female
Hermann Dumpleton,2.502371357,2.125171021,2.914361605,1.213659363,Male
Piotr Glewe,1.622579516,2.326621375,3.249357253,2.539165903,Male
Dalton Scrogges,1.67918585,3.429411456,1.170627115,1.684318762,Male
Phillipe Kitteman,3.82684315,3.1983285,1.741300621,3.87778689,Male
Ailbert Pringuer,2.620986946,1.123675282,2.139189578,2.084663293,Male
Bernadine Nitti,2.017978587,2.73679527,3.331877397,3.995355167,Female
Frederic Colthard,3.533091233,2.420835927,3.185075897,3.81178376,Male
Laney Wadmore,3.177408873,1.915270677,2.582462545,1.362561839,Female
Briant Sturror,1.030985798,3.767618492,1.955378216,1.970331397,Male
Granny Stollsteimer,2.821011855,2.966752339,1.318241596,3.445268697,Male
Lauree Maccaig,2.603553008,2.059854841,2.871434692,1.026624793,Female
Hy Kubala,3.276402701,3.926297901,1.794371226,3.226616257,Male
Cly Marages,2.961704882,3.938213912,1.430751881,3.189412956,Male
Kathie Da Costa,1.07936105,2.96418018,3.857133299,1.884915716,Female
Renault Bromehed,3.235774271,2.576330227,2.40699791,3.381546223,Male
Derron Priestner,2.427823394,3.629413539,1.540393946,3.269171094,Male
Ilise Pask,2.685658548,1.597278925,2.264976887,3.992334515,Female
Camilla Tetley,1.456195781,2.317960889,2.189664638,1.314403974,Female
Feliza Roser,2.386879878,2.772227974,3.206808205,3.691311961,Female
Guy Cannell,2.970477599,3.755635384,2.016948089,2.055301365,Male
Frederik Piggford,3.794273575,3.812256625,2.648530844,3.711171197,Male
Erina Hartland,2.425986881,3.944364047,2.236118169,1.077686935,Female
Ray Valentino,3.98514445,2.3844103,2.296919904,3.941202914,Male
Erina Terrell,2.515372712,2.899770619,1.02455557,2.696259791,Female
Bella Lapham,3.774527622,1.716653059,2.941180799,3.56440591,Female
Gerta Carsey,2.542318138,2.160916346,3.018507973,3.832263928,Female
Arlin Brickell,2.636642379,1.415653637,1.712116073,1.179633503,Male
Dorie Meynell,1.384142961,1.491146666,1.520553266,3.622591746,Male
Crichton Hansana,1.963020281,3.50893402,2.429627016,1.577484497,Male
Lois Rudgley,2.946138098,3.86889317,2.241399831,3.408445045,Female
Dylan Georges,3.701449689,3.509673699,3.288588564,1.456264405,Male
Edithe Zorn,3.414250042,3.888322838,1.702774731,2.236171446,Female
Helenka O' Ronan,1.527275265,2.079547612,1.953209119,3.593335647,Female
Locke Simyson,1.11155047,2.030492321,3.386055423,3.707086025,Male
Clotilda Janecki,2.423495796,1.704706052,1.5615176,3.547213069,Female
Anissa Ceney,1.605268439,2.517264155,3.651965317,1.854637492,Female
Andonis Lettington,3.845401211,2.480155939,1.323126475,2.545209733,Male
